pdf,month,sex_analysis,sex_aware_level,title_keywords,sex_keywords,n_keywords
Alzheimer s   Dementia - 2025 - Buwembo - Family caregivers  perceptions of quality of dementia self‐care in Wakiso.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Calvo - Cognitive and brain health in women with early bilateral salpingo‐oophorectomy .pdf,June,Yes,sex-aware consideration,none,estrogen; menopause,2
Alzheimer s   Dementia - 2025 - Chakraborty - Genome‐wide study links cardiometabolic factors to cognition via.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Che - Plasma placental growth factor as a biomarker for subcortical ischemic vascular.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Chu - Glymphatic activity in behavioral variant frontotemporal dementia  Link with vascular.pdf,June,Yes,sex-aware consideration,none,sex differences; sex-specific,2
Alzheimer s   Dementia - 2025 - Daskoulidou - The Alzheimer s disease‐associated complement receptor 1 variant confers risk.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Detcheverry - Investigating the oxidative stress vascular brain injury axis in mild.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Eshetie - The risk of delirium or dementia‐related hospitalization among individuals living.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Farombi - The role of community advisory boards in enhancing recruitment and retention in.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Fernández‐Matarrubia - Early microglial and astrocyte reactivity in preclinical Alzheimer s.pdf,June,Yes,sex-aware consideration,none,sex differences; sex-specific,2
Alzheimer s   Dementia - 2025 - Fleischman - ARTS is associated with vascular risk factors  MCI  dementia  and stroke.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Friedman - Nearly 4 in 10 extended families of older adults in the United States include an.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Full - Development of a web platform to advance data‐driven recruitment for ADRD research.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Gao - Mitochondrial complex I deficiency induces Alzheimer s disease like signatures that.pdf,June,Yes,sex-aware consideration,none,sex differences; sex-specific; sex-stratified,3
Alzheimer s   Dementia - 2025 - Garcia‐Cordero - Language impairment is associated with faster progression in progressive.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Gawor - Alzheimer s disease and its co‐pathologies  Implications for hippocampal.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Gogola - Impact of racialization on neuroimaging and plasma biomarkers of Alzheimer s.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Grill - Five years of the Institute on Methods and Protocols for Advancement of Clinical.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Gueorguieva - Donanemab exposure‐response in early symptomatic Alzheimer s disease.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Guo - Sensory impairment and dementia risk among older adults in rural South Africa.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Gupta - Comprehensive characterization of the RNA editing landscape in the human aging.pdf,June,Yes,sex-aware consideration,none,gender specific; sex-specific,2
Alzheimer s   Dementia - 2025 - Howard - Cognitive outcomes of deep brain stimulation depend on age and hippocampal.pdf,June,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Huang - Plasma proteomic analysis identifies proteins and pathways related to Alzheimer s.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Hüls - Metabolic dysregulation in Alzheimer s disease  A brain metabolomics approach.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Idris - Staging of Alzheimer s disease progression in Down syndrome using mixed clinical.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Ikanga - Association between neuropsychiatric symptoms and neurodegeneration‐related plasma.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Jung - Validation of criteria for frontotemporal dementia with right anterior temporal lobe.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Juul‐Madsen - Familial Alzheimer s disease mutation identifies novel role of SORLA in.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Kacerova - Role of B vitamins in modulating homocysteine and metabolic pathways linked to.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Knopman - Discrepancies between CSF biomarker and PET determinations of elevated brain.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Kuchenbecker - Novel set of plasma proteins classifies Alzheimer s dementia in African.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Lao - Longitudinal changes in white matter hyperintensity volume accelerate across the.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Leggett - Validating the CG‐STYLE measure in family caregivers of individuals living with.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Liaw - Association between ischemic stroke  hemorrhagic stroke  dementia  and rs201118034.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Lin - Astrovascular decoupling in awake 5 FAD mice is associated with reduced astrocytic.pdf,June,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Liu - Longitudinal methods for Alzheimer s cognitive status prediction with deep learning.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Lopresti - Comparison of visual and analytic methods of Alzheimer s disease pathologic.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Ludwig‐Borycz - Food insecurity and cognitive domains among older United States adults .pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Ma'u - Estimating the impact of risk factor reduction on dementia prevalence in New Zealand.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Mantovani - Neuroinflammation and amyloid load in different age groups of individuals with.pdf,June,Yes,sex-aware consideration,none,sex as a covariate,1
Alzheimer s   Dementia - 2025 - Martin - Sex differences in modifiable dementia risk factors  Findings from the Rush Memory.pdf,June,Yes,sex-aware main focus,sex; sex differences,female specific; female-specific; male specific; male-specific; menopause; sex; sex differences; sex-specific; sex-stratified; stratified by sex,10
Alzheimer s   Dementia - 2025 - Montoliu‐Gaya - Plasma tau biomarkers are distinctly associated with tau tangles and.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Mungas - Machine learning diagnosis of cognitive impairment and dementia in harmonized.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Nakamura - Brexpiprazole s impacts on patients and caregivers in agitation in Alzheimer s.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Perez - U1‐70K and U1A and tau pathogenesis in demented and non‐demented individuals with.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Reagan - Retinal vascular dysfunction in the Mthfr677C T mouse model of cerebrovascular.pdf,June,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Roberts - The association of common infectious exposures with cognitive performance in.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Rose - Adverse childhood experiences influence markers of neurodegeneration risk in older.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Sajjadi - Association of language markers with future cognitive impairment and presence of.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Sing - Bisphosphonates and the risk of dementia in patients with osteoporosis or fragility.pdf,June,Yes,sex-aware consideration,none,sex-specific; subgroup analysis by sex,2
Alzheimer s   Dementia - 2025 - Smaling - Namaste Care Family for people with dementia and family A randomized controlled.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Sordo - Leptin levels are associated with body mass index and Alzheimer s disease in Down.pdf,June,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Thapa - Distinct inflammatory profiles in young‐onset versus late‐onset Alzheimer s disease.pdf,June,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Tomaszewski Farias - Subjective cognitive decline among diverse older adults  Prevalence.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Trani - Structural and social determinants of dementia risk among adults racialized as.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Trivedi - Performance of novel tau antibodies across multiple modalities for Alzheimer s.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Vaqué‐Alcázar - Generational effects in Down syndrome  Enriched environment enhances.pdf,June,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Vijaya Kumar - Human amylin is a potent antimicrobial peptide that exhibits antimicrobial.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Walters - Occupational position and complexity in relation to Black‐White cognitive.pdf,June,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Wang - Association and interaction of blood homocysteine and p‐tau217 levels with temporal.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Wang - Role of 18F‐florzolotau PET in diagnostic and therapeutic decision‐making for.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Watson - Relationship between cellular aging  perceived stress  and cardiometabolic disease.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - West - Single‐nucleus analysis reveals oxidative stress in Down syndrome basal forebrain.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Wijesinghe - Decoding amyloid beta clearance systems at inner blood retina barrier using.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Windon - Amyloid PET and clinical management in a diverse  cognitively impaired population .pdf,June,Yes,sex-aware consideration,none,sex-specific,1
Alzheimer s   Dementia - 2025 - Wretlind - Lipid profiling reveals unsaturated lipid reduction in women with Alzheimer s.pdf,June,Yes,sex-aware consideration,none,sex differences; sex specific; sex-specific; sex-stratified; sex-stratified analysis; stratified by sex,6
Alzheimer s   Dementia - 2025 - Wu - Synthetic control methods for n‐of‐1 and parallel‐group trials in Alzheimer s disease .pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Wu - The combined effects of visual impairment  hearing loss  and olfactory dysfunction on.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Wuestefeld - Tau  atrophy  and domain‐specific cognitive impairment in typical Alzheimer s.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Wyatt‐Johnson - The MR1 MAIT cell axis impacts the gut brain axis through both cognition.pdf,June,Yes,sex-aware consideration,none,sex differences; sex-specific,2
Alzheimer s   Dementia - 2025 - Zheng - Focused ultrasound‐mediated APOE4 knockdown in mouse brain.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Akgun - ABCA7 deletion lowers age at onset of Alzheimer s disease and interacts with APOE .pdf,July,Yes,sex-aware consideration,none,estrogen; sex-specific; sex-stratified; sex-stratified analysis; stratified by sex,5
Alzheimer s   Dementia - 2025 - Almeida - Cognitive and neuropsychological trajectories in patients with mixed.pdf,July,No,none,none,,0
Alzheimer s   Dementia - 2025 - Ambaw - Plasma lipidome dysregulation in frontotemporal dementia reveals shared .pdf,July,No,none,none,,0
Alzheimer s   Dementia - 2025 - Brijnath - Co‐designed films to reduce care burden in India  The Moving Pictures pilot.pdf,July,No,none,none,,0
Alzheimer s   Dementia - 2025 - Cerin - Neighborhood environments and transition to cognitive states  Sydney Memory and.pdf,July,No,none,none,,0
Alzheimer s   Dementia - 2025 - Chen - Periventricular diffusivity reflects APOE  4 modulated amyloid accumulation and.pdf,July,Yes,sex-aware consideration,none,sex-specific; sex-stratified,2
Alzheimer s   Dementia - 2025 - Cheng - Long‐term impact of white matter hyperintensities and amyloid beta on thalamic.pdf,July,No,none,none,,0
Alzheimer s   Dementia - 2025 - Cholerton - Neuropsychiatric symptom subtypes and dementia‐associated neuropathologic.pdf,July,No,none,none,,0
Alzheimer s   Dementia - 2025 - Chu - Development and validation of a predictive model to forecast the cerebrovascular risk.pdf,July,No,none,none,,0
Alzheimer s   Dementia - 2025 - Chun - Polygenic risk score of Alzheimer s disease is associated with cognitive.pdf,July,No,none,none,,0
Alzheimer s   Dementia - 2025 - Cleary - MicroRNA cargo in neuron‐derived vesicles as peripheral biomarkers of brain.pdf,July,Yes,sex-aware consideration,none,estrogen; sex specific; sex-specific; testosterone,4
Alzheimer s   Dementia - 2025 - Cogswell - Association of plasma Alzheimer s disease biomarkers with cognitive decline in.pdf,July,No,none,none,,0
Alzheimer s   Dementia - 2025 - Danhash - Ms4a4a deficiency ameliorates plaque pathology in a mouse model of amyloid.pdf,July,No,none,none,,0
Alzheimer s   Dementia - 2025 - Edwards - Interactive effects of arterial stiffness and Alzheimer s disease risk on.pdf,July,Yes,sex-aware consideration,none,sex-specific,1
Alzheimer s   Dementia - 2025 - Emanuel - Birth weight  incident dementia risk  and PET amyloid burden  The ARIC study.pdf,July,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Erichsen - A phase 2A B randomized trial of metabolic modulators intranasal insulin and.pdf,July,No,none,none,,0
Alzheimer s   Dementia - 2025 - Floud - Hypertension in pregnancy and in midlife and the risk of dementia  prospective.pdf,July,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Franquesa‐Mullerat - Study of brain perfusion in adults with Down syndrome along the.pdf,July,Yes,sex-aware consideration,none,estrogen; gender-specific; menopause; sex differences,4
Alzheimer s   Dementia - 2025 - French - Cognitive impairment and p‐tau217 are high in a vascular patient cohort.pdf,July,No,none,none,,0
Alzheimer s   Dementia - 2025 - Gils - The association of diabetes with Alzheimer s disease biomarkers and vascular burden.pdf,July,No,none,none,,0
Alzheimer s   Dementia - 2025 - Guo - Decreased quantitative transport mapping velocity in the middle cerebral artery.pdf,July,No,none,none,,0
Alzheimer s   Dementia - 2025 - Guo - Validity and reliability of the Informant Questionnaire on Cognitive Decline in the.pdf,July,No,none,none,,0
Alzheimer s   Dementia - 2025 - Haddad - Free water predicts dementia with Lewy bodies in isolated REM sleep behavior.pdf,July,No,none,none,,0
Alzheimer s   Dementia - 2025 - Heston - Factors associated with age at tau pathology onset and time from tau onset to.pdf,July,Yes,sex-aware consideration,none,menopause; sex differences; sex interaction; sex-specific,4
Alzheimer s   Dementia - 2025 - Hsieh - Metformin‐based oral antihyperglycemic combination therapy and risk of dementia in.pdf,July,Yes,sex-aware consideration,none,estrogen,1
Alzheimer s   Dementia - 2025 - Kang - Genome‐wide pleiotropy analysis of longitudinal blood pressure and harmonized.pdf,July,Yes,sex-aware consideration,none,female-specific; male-specific; sex differences,3
Alzheimer s   Dementia - 2025 - Kang - Prevalence and risk factors of cerebral microhemorrhages and superficial siderosis.pdf,July,Yes,sex-aware consideration,none,sex interaction,1
Alzheimer s   Dementia - 2025 - Kim - Late‐life emergence of neuropsychiatric symptoms and risk of cognitive impairment in.pdf,July,No,none,none,,0
Alzheimer s   Dementia - 2025 - Kivisild - Sociodemographic traits as early indicators of AD  FTD  and VaD up to 10 years.pdf,July,No,none,none,,0
Alzheimer s   Dementia - 2025 - Lavrova - 18F‐FDG PET in detection of primary age‐related tauopathy  PART    Is there a.pdf,July,No,none,none,,0
Alzheimer s   Dementia - 2025 - LeMerise - Longitudinal diffusion tensor imaging correlates with amyloid burden in Down.pdf,July,No,none,none,,0
Alzheimer s   Dementia - 2025 - Lee - Moderating effects of plasma glial fibrillary acidic protein along the Alzheimer s.pdf,July,No,none,none,,0
Alzheimer s   Dementia - 2025 - Leone - Alterations in MRI‐visible perivascular spaces precede dementia diagnosis by 18.pdf,July,No,none,none,,0
Alzheimer s   Dementia - 2025 - Logue - Novel differentially expressed genes and multiple biological pathways for Alzheimer.pdf,July,No,none,none,,0
Alzheimer s   Dementia - 2025 - Maly - Performance of 123I‐ioflupane SPECT striatal binding in dementia with Lewy bodies.pdf,July,No,none,none,,0
Alzheimer s   Dementia - 2025 - Marcatti - A brain‐derived tau oligomer polymorph is associated with cognitive resilience.pdf,July,No,none,none,,0
Alzheimer s   Dementia - 2025 - Na - Neural basis of motor symptoms in Alzheimer s disease  role of regional tau burden and.pdf,July,No,none,none,,0
Alzheimer s   Dementia - 2025 - Nance - GLP‐1RA comparative effectiveness against dementia onset relative to other.pdf,July,No,none,none,,0
Alzheimer s   Dementia - 2025 - Norling - Arterial stiffness moderates the link between NfL and cognition  The IGNITE study.pdf,July,No,none,none,,0
Alzheimer s   Dementia - 2025 - Novoseltseva - Imaging myelin degradation in ex vivo prefrontal cortex tissue blocks in.pdf,July,No,none,none,,0
Alzheimer s   Dementia - 2025 - Nuytten - Randomized phase 2a trial assessing a novel septin molecular glue in Alzheimer s.pdf,July,No,none,none,,0
Alzheimer s   Dementia - 2025 - Paauw - Awareness and knowledge of dementia risk reduction among current and future health.pdf,July,No,none,none,,0
Alzheimer s   Dementia - 2025 - Phan - Reduced harm aversion relates to antisocial behaviors and orbitofrontal atrophy in.pdf,July,No,none,none,,0
Alzheimer s   Dementia - 2025 - Piguet - Fourteen years later  Reviewing the diagnostic criteria for behavioral‐variant.pdf,July,No,none,none,,0
Alzheimer s   Dementia - 2025 - Pokala - Dementia knowledge and caregiver burden among carers of older adults in rural.pdf,July,No,none,none,,0
Alzheimer s   Dementia - 2025 - Ramirez - Ancestral genomic functional differences in oligodendroglia  implications for.pdf,July,Yes,sex-aware consideration,none,sex differences; sex-specific,2
Alzheimer s   Dementia - 2025 - Ren - Identifying dementia neuropathology using low‐burden clinical data.pdf,July,No,none,none,,0
Alzheimer s   Dementia - 2025 - Saelzler - Age of menopause and dementia risk in 10 832 women from the Swedish Twin.pdf,July,Yes,sex-aware main focus,menopause,estrogen; female specific; female-specific; male specific; male-specific; menopause; sex differences; sex-specific; testosterone,9
Alzheimer s   Dementia - 2025 - Santos - White matter microstructure is differentially impacted by cerebral amyloid.pdf,July,No,none,none,,0
Alzheimer s   Dementia - 2025 - Savola - Hippocampal tau distribution in primary age‐related tauopathy  The Vantaa 85 .pdf,July,No,none,none,,0
Alzheimer s   Dementia - 2025 - Shariff - Dementia care and mortality in people experiencing homelessness  A matched cohort.pdf,July,Yes,sex-aware consideration,none,sex-disaggregated,1
Alzheimer s   Dementia - 2025 - Song - Reproductive health history and later life cognition in African Caribbean women.pdf,July,Yes,sex-aware consideration,none,estrogen; menopause; sex differences,3
Alzheimer s   Dementia - 2025 - Stevens - A randomized trial of two online platforms for dementia family caregivers .pdf,July,No,none,none,,0
Alzheimer s   Dementia - 2025 - Studer - Lifestyle  genetic risk  plasma pTau217  and incident cognitive impairment in WRAP.pdf,July,No,none,none,,0
Alzheimer s   Dementia - 2025 - Tang - Unraveling the complexity of neurodegeneration  heterogeneous damage patterns of.pdf,July,No,none,none,,0
Alzheimer s   Dementia - 2025 - Tian - Protective mechanisms against Alzheimer s disease in APOE3‐Christchurch homozygous.pdf,July,No,none,none,,0
Alzheimer s   Dementia - 2025 - Tjokrowijoto - The road to young‐onset dementia diagnosis  Findings from the Joint.pdf,July,No,none,none,,0
Alzheimer s   Dementia - 2025 - Tremblay - Altered network efficiency in isolated REM sleep behavior disorder  A.pdf,July,Yes,sex-aware consideration,none,sex-specific,1
Alzheimer s   Dementia - 2025 - Trudel - Rates of clinical progression according to biological Alzheimer s disease stages.pdf,July,No,none,none,,0
Alzheimer s   Dementia - 2025 - Tsui - The TREM2 H157Y variant is associated with more severe neurodegeneration in.pdf,July,No,none,none,,0
Alzheimer s   Dementia - 2025 - Uchida - Change points for dynamic biomarkers in the Alzheimer s disease pathological.pdf,July,Yes,sex-aware consideration,none,sex differences; sex-specific; sex-stratified,3
Alzheimer s   Dementia - 2025 - Walter - Traumatic brain injury  changes in plasma amyloid  tau  and neurodegenerative.pdf,July,No,none,none,,0
Alzheimer s   Dementia - 2025 - Wang - Measuring alignment between the ADRC UDS data elements  FDA  and EHR data standards.pdf,July,No,none,none,,0
Alzheimer s   Dementia - 2025 - Wang - Sex‐specific association of depressive symptom trajectories with cognitive decline.pdf,July,Yes,sex-aware main focus,sex,estrogen; gender specific; sex; sex differences; sex-specific; testosterone,6
Alzheimer s   Dementia - 2025 - Wang - Tenascin‐R aggravates A  production in the perforant pathway by regulating Nav1 6.pdf,July,No,none,none,,0
Alzheimer s   Dementia - 2025 - Yang - Decoding adipose brain crosstalk  Distinct lipid cargo in human adipose‐derived.pdf,July,Yes,sex-aware consideration,none,estrogen,1
Alzheimer s   Dementia - 2025 - Yang - Differences in inflammatory markers  mitochondrial function  and synaptic proteins.pdf,July,Yes,sex-aware main focus,female,estrogen; female; menopause; sex differences; sex-specific,5
Alzheimer s   Dementia - 2025 - Yi - Topological and geometric signatures of brain network dynamics in Alzheimer s disease.pdf,July,Yes,sex-aware consideration,none,female-specific; male-specific; sex differences; sex specific; sex-specific; sex-stratified; stratified by sex,7
Alzheimer s   Dementia - 2025 - Akinyemi - Association between cardiovascular and cognitive health among older Indigenous.pdf,August,Yes,sex-aware consideration,none,sex differences; stratified by sex,2
Alzheimer s   Dementia - 2025 - Almanza - High‐caloric intake rescues early symptomatic AD‐induced hippocampal.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Anagnostakis - Impact of cardiometabolic conditions on the progression from mild cognitive.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - André - International recommendations for sleep and circadian research in aging and.pdf,August,Yes,sex-aware consideration,none,sex-stratified,1
Alzheimer s   Dementia - 2025 - Araujo‐Menendez - Cognitive trajectories among English‐ and Spanish‐test‐takers in the NACC.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Atkins - The iADRS as an integrated measure of cognition and function  Psychometric.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Bauer - Blood‐based pre‐screening in the SKYLINE secondary prevention Ph3 gantenerumab.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Bellitti - Practice effects on digital cognitive assessment tools  insights from the.pdf,August,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Boer - Cross‐country variance in facial emotion recognition in presymptomatic and.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Bolton - Mild kidney dysfunction affects the predictive accuracy of blood‐based biomarkers.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Brown - Demographically adjusted normative data among Peruvians with diverse education.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Caunca - Neuroimaging markers of dementia across race ethnicity and sex gender using an.pdf,August,Yes,sex-aware main focus,gender; sex,gender; menopause; sex; sex differences; sex-specific,5
Alzheimer s   Dementia - 2025 - Chan - NACC data  Who is represented over time and across centers  and implications for.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Chen - Associations of neurodegenerative proteins with brain iron deposition and cognition.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Choi - Beyond NACC s Uniform Data Set for cognition  the impact of additional items on.pdf,August,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Ciampi - Intestinal inflammation induces glymphatic remodeling  priming early.pdf,August,Yes,sex-aware consideration,none,estrogen; sex differences,2
Alzheimer s   Dementia - 2025 - Cody - Comparison of amyloid PET acquired through standardized and unstandardized protocols.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Devanarayan - Multimodal prognostic modeling of individual cognitive trajectories to.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Doecke - Combining Lumipulse p‐tau217 and A 42 40 as confirmatory tests for A  positivity.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Dorfsman - Linkage and association of preserved cognitive function in the midwestern Amish.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Edwards - Alzheimer s disease diagnostic progression is associated with cerebrovascular.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Eijansantos - Burden of psychiatric disease inversely correlates with Alzheimer s age at.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Emrani - Carotid and regional arterial stiffness and dementia‐related imaging biomarkers in.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Eratne - Plasma p‐tau217  NfL  GFAP diagnostic performance and biomarker profiles in.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Gallée - Facets of language performance in early‐onset and late‐onset Alzheimer s disease.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Gao - PINK1 deficiency permits the development of Lewy body dementia with coexisting A .pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Gaynor - Measurement equivalence of the UDS version 2 0 and 3 0 neuropsychological.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Gibson - Co‐pathology in Alzheimer s disease and Lewy body disease and its association with.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Godrich - Genome‐wide association studies of TDP‐43 proteinopathy and hippocampal sclerosis.pdf,August,Yes,sex-aware consideration,none,male-specific; sex differences; sex-specific,3
Alzheimer s   Dementia - 2025 - Greer - TREM2‐apoE3 interactions and Alzheimer s disease  Molecular and structural insights.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Halloway - Effect modifiers of the MIND diet for cognition in older adults  The MIND diet.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - He - Automated bimodal pause analysis for acoustic markers of cognitive decline and.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Hong - MRI markers of cerebrospinal fluid dynamics predict dementia and mediate the impact.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Ikanga - The association of human apolipoprotein  4 with dementia  cognition  imaging  and.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Kavcic - Cardiometabolic disorders and mild cognitive impairment in White and Black.pdf,August,Yes,sex-aware consideration,none,estrogen; sex differences,2
Alzheimer s   Dementia - 2025 - Kleiman - The Brain Health Index  Integrating vulnerability  resilience  and cognitive.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Kwapong - Retinal microvascular alterations in Alzheimer s disease  Linking blood plasma.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Latomme - A scoping review and comprehensive needs assessment for developing an.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Le - Treatment modifiers and predictors of risperidone response in dementia  An individual.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Lee - Age‐related amyloid beta dynamics modeled with the generalized additive model for.pdf,August,Yes,sex-aware consideration,none,sex differences; sex-specific; stratified by sex,3
Alzheimer s   Dementia - 2025 - Lee - Anticholinergics  executive function  and cognitive behavioral changes in Down.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Liu - Caregivers  perspectives on lecanemab use for Alzheimer s disease  A national survey.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Luo - Development and evaluation of image preprocessing pipelines for the Centiloid method.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Markova - Defining the contributions of tau pathology in the amygdala to increasing.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - McDade - The relationship of soluble tau species with Alzheimer s disease amyloid plaque.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - McEligot - Associations between comorbid conditions with mild cognitive impairment and.pdf,August,Yes,sex-aware main focus,sex,sex; sex differences; sex-specific; stratified by sex,4
Alzheimer s   Dementia - 2025 - Miller - Neurodevelopment and neural environment inform Alzheimer s disease age at onset.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Nguyen Ho - Objective physical activity and Alzheimer s disease burden in the.pdf,August,Yes,sex-aware consideration,none,sex-specific,1
Alzheimer s   Dementia - 2025 - Nordestgaard - Cholesterol‐lowering drug targets reduce risk of dementia  Mendelian.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Ouellette - Evaluation of hippocampal DLGAP2 overexpression on cognition  synaptic function.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Palpatzis - Adaptive stress coping is associated with cognitive resilience in at‐risk.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Povala - Amyloid beta and tau are associated with the dual effect of neuroinflammation on.pdf,August,No,none,none,,0
