pdf,month,datasets_found,matched_row
Alzheimer s   Dementia - 2025 - Mantovani - Neuroinflammation and amyloid load in different age groups of individuals with.pdf,June,none,51
Alzheimer s   Dementia - 2025 - Martin - Sex differences in modifiable dementia risk factors  Findings from the Rush Memory.pdf,June,UK Biobank,52
Alzheimer s   Dementia - 2025 - Montoliu‐Gaya - Plasma tau biomarkers are distinctly associated with tau tangles and.pdf,June,none,53
Alzheimer s   Dementia - 2025 - Mungas - Machine learning diagnosis of cognitive impairment and dementia in harmonized.pdf,June,NACC; ADNI,54
Alzheimer s   Dementia - 2025 - Nakamura - Brexpiprazole s impacts on patients and caregivers in agitation in Alzheimer s.pdf,June,none,55
Alzheimer s   Dementia - 2025 - Perez - U1‐70K and U1A and tau pathogenesis in demented and non‐demented individuals with.pdf,June,MAPT,56
Alzheimer s   Dementia - 2025 - Reagan - Retinal vascular dysfunction in the Mthfr677C T mouse model of cerebrovascular.pdf,June,none,57
Alzheimer s   Dementia - 2025 - Roberts - The association of common infectious exposures with cognitive performance in.pdf,June,none,58
Alzheimer s   Dementia - 2025 - Rose - Adverse childhood experiences influence markers of neurodegeneration risk in older.pdf,June,ADNI,59
Alzheimer s   Dementia - 2025 - Sajjadi - Association of language markers with future cognitive impairment and presence of.pdf,June,none,60
Alzheimer s   Dementia - 2025 - Sing - Bisphosphonates and the risk of dementia in patients with osteoporosis or fragility.pdf,June,none,61
Alzheimer s   Dementia - 2025 - Smaling - Namaste Care Family for people with dementia and family A randomized controlled.pdf,June,none,62
Alzheimer s   Dementia - 2025 - Sordo - Leptin levels are associated with body mass index and Alzheimer s disease in Down.pdf,June,none,63
Alzheimer s   Dementia - 2025 - Thapa - Distinct inflammatory profiles in young‐onset versus late‐onset Alzheimer s disease.pdf,June,none,64
Alzheimer s   Dementia - 2025 - Tomaszewski Farias - Subjective cognitive decline among diverse older adults  Prevalence.pdf,June,A4 Study,65
Alzheimer s   Dementia - 2025 - Trani - Structural and social determinants of dementia risk among adults racialized as.pdf,June,ADNI,66
Alzheimer s   Dementia - 2025 - Trivedi - Performance of novel tau antibodies across multiple modalities for Alzheimer s.pdf,June,none,67
Alzheimer s   Dementia - 2025 - Vaqué‐Alcázar - Generational effects in Down syndrome  Enriched environment enhances.pdf,June,none,68
Alzheimer s   Dementia - 2025 - Vijaya Kumar - Human amylin is a potent antimicrobial peptide that exhibits antimicrobial.pdf,June,none,69
Alzheimer s   Dementia - 2025 - Walters - Occupational position and complexity in relation to Black‐White cognitive.pdf,June,none,70
Alzheimer s   Dementia - 2025 - Wang - Association and interaction of blood homocysteine and p‐tau217 levels with temporal.pdf,June,ADNI,71
Alzheimer s   Dementia - 2025 - Wang - Role of 18F‐florzolotau PET in diagnostic and therapeutic decision‐making for.pdf,June,none,72
Alzheimer s   Dementia - 2025 - Watson - Relationship between cellular aging  perceived stress  and cardiometabolic disease.pdf,June,none,73
Alzheimer s   Dementia - 2025 - West - Single‐nucleus analysis reveals oxidative stress in Down syndrome basal forebrain.pdf,June,none,74
Alzheimer s   Dementia - 2025 - Wijesinghe - Decoding amyloid beta clearance systems at inner blood retina barrier using.pdf,June,none,75
Alzheimer s   Dementia - 2025 - Windon - Amyloid PET and clinical management in a diverse  cognitively impaired population .pdf,June,A4 Study,76
Alzheimer s   Dementia - 2025 - Wretlind - Lipid profiling reveals unsaturated lipid reduction in women with Alzheimer s.pdf,June,AddNeuroMed; EPAD,77
Alzheimer s   Dementia - 2025 - Wu - Synthetic control methods for n‐of‐1 and parallel‐group trials in Alzheimer s disease .pdf,June,NACC,78
Alzheimer s   Dementia - 2025 - Wu - The combined effects of visual impairment  hearing loss  and olfactory dysfunction on.pdf,June,none,79
Alzheimer s   Dementia - 2025 - Wuestefeld - Tau  atrophy  and domain‐specific cognitive impairment in typical Alzheimer s.pdf,June,ADNI,80
Alzheimer s   Dementia - 2025 - Wyatt‐Johnson - The MR1 MAIT cell axis impacts the gut brain axis through both cognition.pdf,June,none,81
Alzheimer s   Dementia - 2025 - Zheng - Focused ultrasound‐mediated APOE4 knockdown in mouse brain.pdf,June,none,82
Alzheimer s   Dementia - 2025 - Akgun - ABCA7 deletion lowers age at onset of Alzheimer s disease and interacts with APOE .pdf,July,ADSP,2
Alzheimer s   Dementia - 2025 - Almeida - Cognitive and neuropsychological trajectories in patients with mixed.pdf,July,NACC,3
Alzheimer s   Dementia - 2025 - Ambaw - Plasma lipidome dysregulation in frontotemporal dementia reveals shared .pdf,July,NACC; MAPT,4
Alzheimer s   Dementia - 2025 - Brijnath - Co‐designed films to reduce care burden in India  The Moving Pictures pilot.pdf,July,none,5
Alzheimer s   Dementia - 2025 - Cerin - Neighborhood environments and transition to cognitive states  Sydney Memory and.pdf,July,none,6
Alzheimer s   Dementia - 2025 - Chen - Periventricular diffusivity reflects APOE  4 modulated amyloid accumulation and.pdf,July,UK Biobank,7
Alzheimer s   Dementia - 2025 - Cheng - Long‐term impact of white matter hyperintensities and amyloid beta on thalamic.pdf,July,none,8
Alzheimer s   Dementia - 2025 - Cholerton - Neuropsychiatric symptom subtypes and dementia‐associated neuropathologic.pdf,July,NACC; ADSP,9
Alzheimer s   Dementia - 2025 - Chu - Development and validation of a predictive model to forecast the cerebrovascular risk.pdf,July,ROSMAP; NACC,10
Alzheimer s   Dementia - 2025 - Chun - Polygenic risk score of Alzheimer s disease is associated with cognitive.pdf,July,UK Biobank; KBASE,11
Alzheimer s   Dementia - 2025 - Cleary - MicroRNA cargo in neuron‐derived vesicles as peripheral biomarkers of brain.pdf,July,none,12
Alzheimer s   Dementia - 2025 - Cogswell - Association of plasma Alzheimer s disease biomarkers with cognitive decline in.pdf,July,AIBL,13
Alzheimer s   Dementia - 2025 - Danhash - Ms4a4a deficiency ameliorates plaque pathology in a mouse model of amyloid.pdf,July,Knight ADRC; ADNI,14
Alzheimer s   Dementia - 2025 - Edwards - Interactive effects of arterial stiffness and Alzheimer s disease risk on.pdf,July,NACC,15
Alzheimer s   Dementia - 2025 - Emanuel - Birth weight  incident dementia risk  and PET amyloid burden  The ARIC study.pdf,July,none,16
Alzheimer s   Dementia - 2025 - Erichsen - A phase 2A B randomized trial of metabolic modulators intranasal insulin and.pdf,July,none,17
Alzheimer s   Dementia - 2025 - Floud - Hypertension in pregnancy and in midlife and the risk of dementia  prospective.pdf,July,UK Biobank,18
Alzheimer s   Dementia - 2025 - Franquesa‐Mullerat - Study of brain perfusion in adults with Down syndrome along the.pdf,July,none,19
Alzheimer s   Dementia - 2025 - French - Cognitive impairment and p‐tau217 are high in a vascular patient cohort.pdf,July,NACC; UK Biobank,20
Alzheimer s   Dementia - 2025 - Gils - The association of diabetes with Alzheimer s disease biomarkers and vascular burden.pdf,July,UK Biobank; EPAD,21
Alzheimer s   Dementia - 2025 - Guo - Decreased quantitative transport mapping velocity in the middle cerebral artery.pdf,July,none,22
Alzheimer s   Dementia - 2025 - Guo - Validity and reliability of the Informant Questionnaire on Cognitive Decline in the.pdf,July,LASI-DAD,23
Alzheimer s   Dementia - 2025 - Haddad - Free water predicts dementia with Lewy bodies in isolated REM sleep behavior.pdf,July,none,24
Alzheimer s   Dementia - 2025 - Heston - Factors associated with age at tau pathology onset and time from tau onset to.pdf,July,ADNI,25
Alzheimer s   Dementia - 2025 - Hsieh - Metformin‐based oral antihyperglycemic combination therapy and risk of dementia in.pdf,July,ADNI,26
Alzheimer s   Dementia - 2025 - Kang - Genome‐wide pleiotropy analysis of longitudinal blood pressure and harmonized.pdf,July,ROSMAP; NACC; ADNI; ADSP,27
Alzheimer s   Dementia - 2025 - Kang - Prevalence and risk factors of cerebral microhemorrhages and superficial siderosis.pdf,July,ADNI; AIBL; A4 Study,28
Alzheimer s   Dementia - 2025 - Kim - Late‐life emergence of neuropsychiatric symptoms and risk of cognitive impairment in.pdf,July,NACC; ADNI; DELCODE,29
Alzheimer s   Dementia - 2025 - Kivisild - Sociodemographic traits as early indicators of AD  FTD  and VaD up to 10 years.pdf,July,UK Biobank,30
Alzheimer s   Dementia - 2025 - Lavrova - 18F‐FDG PET in detection of primary age‐related tauopathy  PART    Is there a.pdf,July,NACC; MAPT,31
Alzheimer s   Dementia - 2025 - LeMerise - Longitudinal diffusion tensor imaging correlates with amyloid burden in Down.pdf,July,none,32
Alzheimer s   Dementia - 2025 - Lee - Moderating effects of plasma glial fibrillary acidic protein along the Alzheimer s.pdf,July,NACC; A4 Study,33
Alzheimer s   Dementia - 2025 - Leone - Alterations in MRI‐visible perivascular spaces precede dementia diagnosis by 18.pdf,July,none,34
Alzheimer s   Dementia - 2025 - Logue - Novel differentially expressed genes and multiple biological pathways for Alzheimer.pdf,July,Knight ADRC,35
Alzheimer s   Dementia - 2025 - Maly - Performance of 123I‐ioflupane SPECT striatal binding in dementia with Lewy bodies.pdf,July,none,36
Alzheimer s   Dementia - 2025 - Marcatti - A brain‐derived tau oligomer polymorph is associated with cognitive resilience.pdf,July,none,37
Alzheimer s   Dementia - 2025 - Na - Neural basis of motor symptoms in Alzheimer s disease  role of regional tau burden and.pdf,July,none,38
Alzheimer s   Dementia - 2025 - Nance - GLP‐1RA comparative effectiveness against dementia onset relative to other.pdf,July,none,39
Alzheimer s   Dementia - 2025 - Norling - Arterial stiffness moderates the link between NfL and cognition  The IGNITE study.pdf,July,none,40
Alzheimer s   Dementia - 2025 - Novoseltseva - Imaging myelin degradation in ex vivo prefrontal cortex tissue blocks in.pdf,July,none,41
Alzheimer s   Dementia - 2025 - Nuytten - Randomized phase 2a trial assessing a novel septin molecular glue in Alzheimer s.pdf,July,none,42
Alzheimer s   Dementia - 2025 - Paauw - Awareness and knowledge of dementia risk reduction among current and future health.pdf,July,none,43
Alzheimer s   Dementia - 2025 - Phan - Reduced harm aversion relates to antisocial behaviors and orbitofrontal atrophy in.pdf,July,none,44
Alzheimer s   Dementia - 2025 - Piguet - Fourteen years later  Reviewing the diagnostic criteria for behavioral‐variant.pdf,July,MAPT,45
Alzheimer s   Dementia - 2025 - Pokala - Dementia knowledge and caregiver burden among carers of older adults in rural.pdf,July,none,46
Alzheimer s   Dementia - 2025 - Ramirez - Ancestral genomic functional differences in oligodendroglia  implications for.pdf,July,MAPT; ADSP,47
Alzheimer s   Dementia - 2025 - Ren - Identifying dementia neuropathology using low‐burden clinical data.pdf,July,NACC,48
Alzheimer s   Dementia - 2025 - Saelzler - Age of menopause and dementia risk in 10 832 women from the Swedish Twin.pdf,July,none,49
Alzheimer s   Dementia - 2025 - Santos - White matter microstructure is differentially impacted by cerebral amyloid.pdf,July,NACC,50
Alzheimer s   Dementia - 2025 - Savola - Hippocampal tau distribution in primary age‐related tauopathy  The Vantaa 85 .pdf,July,MAPT,51
Alzheimer s   Dementia - 2025 - Shariff - Dementia care and mortality in people experiencing homelessness  A matched cohort.pdf,July,none,52
Alzheimer s   Dementia - 2025 - Song - Reproductive health history and later life cognition in African Caribbean women.pdf,July,UK Biobank,53
Alzheimer s   Dementia - 2025 - Stevens - A randomized trial of two online platforms for dementia family caregivers .pdf,July,none,54
Alzheimer s   Dementia - 2025 - Studer - Lifestyle  genetic risk  plasma pTau217  and incident cognitive impairment in WRAP.pdf,July,WRAP; UK Biobank; MAPT,55
Alzheimer s   Dementia - 2025 - Tang - Unraveling the complexity of neurodegeneration  heterogeneous damage patterns of.pdf,July,NACC,56
Alzheimer s   Dementia - 2025 - Tian - Protective mechanisms against Alzheimer s disease in APOE3‐Christchurch homozygous.pdf,July,none,57
Alzheimer s   Dementia - 2025 - Tjokrowijoto - The road to young‐onset dementia diagnosis  Findings from the Joint.pdf,July,none,58
Alzheimer s   Dementia - 2025 - Tremblay - Altered network efficiency in isolated REM sleep behavior disorder  A.pdf,July,none,59
Alzheimer s   Dementia - 2025 - Trudel - Rates of clinical progression according to biological Alzheimer s disease stages.pdf,July,ADNI,60
Alzheimer s   Dementia - 2025 - Tsui - The TREM2 H157Y variant is associated with more severe neurodegeneration in.pdf,July,none,61
Alzheimer s   Dementia - 2025 - Uchida - Change points for dynamic biomarkers in the Alzheimer s disease pathological.pdf,July,BIOCARD; UK Biobank,62
Alzheimer s   Dementia - 2025 - Walter - Traumatic brain injury  changes in plasma amyloid  tau  and neurodegenerative.pdf,July,none,63
Alzheimer s   Dementia - 2025 - Wang - Measuring alignment between the ADRC UDS data elements  FDA  and EHR data standards.pdf,July,NACC,64
Alzheimer s   Dementia - 2025 - Wang - Sex‐specific association of depressive symptom trajectories with cognitive decline.pdf,July,ADNI,65
Alzheimer s   Dementia - 2025 - Wang - Tenascin‐R aggravates A  production in the perforant pathway by regulating Nav1 6.pdf,July,none,66
Alzheimer s   Dementia - 2025 - Yang - Decoding adipose brain crosstalk  Distinct lipid cargo in human adipose‐derived.pdf,July,none,67
Alzheimer s   Dementia - 2025 - Yang - Differences in inflammatory markers  mitochondrial function  and synaptic proteins.pdf,July,none,68
Alzheimer s   Dementia - 2025 - Yi - Topological and geometric signatures of brain network dynamics in Alzheimer s disease.pdf,July,OASIS-3,69
Alzheimer s   Dementia - 2025 - Akinyemi - Association between cardiovascular and cognitive health among older Indigenous.pdf,August,none,2
Alzheimer s   Dementia - 2025 - Almanza - High‐caloric intake rescues early symptomatic AD‐induced hippocampal.pdf,August,none,3
Alzheimer s   Dementia - 2025 - Anagnostakis - Impact of cardiometabolic conditions on the progression from mild cognitive.pdf,August,none,4
Alzheimer s   Dementia - 2025 - André - International recommendations for sleep and circadian research in aging and.pdf,August,none,5
Alzheimer s   Dementia - 2025 - Araujo‐Menendez - Cognitive trajectories among English‐ and Spanish‐test‐takers in the NACC.pdf,August,NACC,6
Alzheimer s   Dementia - 2025 - Atkins - The iADRS as an integrated measure of cognition and function  Psychometric.pdf,August,none,7
Alzheimer s   Dementia - 2025 - Bauer - Blood‐based pre‐screening in the SKYLINE secondary prevention Ph3 gantenerumab.pdf,August,AIBL; A4 Study,8
Alzheimer s   Dementia - 2025 - Bellitti - Practice effects on digital cognitive assessment tools  insights from the.pdf,August,NACC,9
Alzheimer s   Dementia - 2025 - Boer - Cross‐country variance in facial emotion recognition in presymptomatic and.pdf,August,NACC; MAPT; ReDLat; BrainLat,10
Alzheimer s   Dementia - 2025 - Bolton - Mild kidney dysfunction affects the predictive accuracy of blood‐based biomarkers.pdf,August,none,11
Alzheimer s   Dementia - 2025 - Brown - Demographically adjusted normative data among Peruvians with diverse education.pdf,August,NACC,12
Alzheimer s   Dementia - 2025 - Caunca - Neuroimaging markers of dementia across race ethnicity and sex gender using an.pdf,August,UK Biobank,13
Alzheimer s   Dementia - 2025 - Chan - NACC data  Who is represented over time and across centers  and implications for.pdf,August,NACC,14
Alzheimer s   Dementia - 2025 - Chen - Associations of neurodegenerative proteins with brain iron deposition and cognition.pdf,August,MAPT,15
Alzheimer s   Dementia - 2025 - Choi - Beyond NACC s Uniform Data Set for cognition  the impact of additional items on.pdf,August,NACC; ADNI; ADSP,16
Alzheimer s   Dementia - 2025 - Ciampi - Intestinal inflammation induces glymphatic remodeling  priming early.pdf,August,none,17
Alzheimer s   Dementia - 2025 - Cody - Comparison of amyloid PET acquired through standardized and unstandardized protocols.pdf,August,NACC; ADNI; A4 Study,18
Alzheimer s   Dementia - 2025 - Devanarayan - Multimodal prognostic modeling of individual cognitive trajectories to.pdf,August,BLSA; WRAP; A4 Study,19
Alzheimer s   Dementia - 2025 - Doecke - Combining Lumipulse p‐tau217 and A 42 40 as confirmatory tests for A  positivity.pdf,August,AIBL,20
Alzheimer s   Dementia - 2025 - Dorfsman - Linkage and association of preserved cognitive function in the midwestern Amish.pdf,August,none,21
Alzheimer s   Dementia - 2025 - Edwards - Alzheimer s disease diagnostic progression is associated with cerebrovascular.pdf,August,none,22
Alzheimer s   Dementia - 2025 - Eijansantos - Burden of psychiatric disease inversely correlates with Alzheimer s age at.pdf,August,NACC,23
Alzheimer s   Dementia - 2025 - Emrani - Carotid and regional arterial stiffness and dementia‐related imaging biomarkers in.pdf,August,none,24
Alzheimer s   Dementia - 2025 - Eratne - Plasma p‐tau217  NfL  GFAP diagnostic performance and biomarker profiles in.pdf,August,AIBL,25
Alzheimer s   Dementia - 2025 - Gallée - Facets of language performance in early‐onset and late‐onset Alzheimer s disease.pdf,August,NACC; ADNI,26
Alzheimer s   Dementia - 2025 - Gao - PINK1 deficiency permits the development of Lewy body dementia with coexisting A .pdf,August,none,27
Alzheimer s   Dementia - 2025 - Gaynor - Measurement equivalence of the UDS version 2 0 and 3 0 neuropsychological.pdf,August,WHICAP; NACC,28
Alzheimer s   Dementia - 2025 - Gibson - Co‐pathology in Alzheimer s disease and Lewy body disease and its association with.pdf,August,NACC,29
Alzheimer s   Dementia - 2025 - Godrich - Genome‐wide association studies of TDP‐43 proteinopathy and hippocampal sclerosis.pdf,August,WHICAP; ROSMAP; NACC; MAPT; ADSP,30
Alzheimer s   Dementia - 2025 - Greer - TREM2‐apoE3 interactions and Alzheimer s disease  Molecular and structural insights.pdf,August,none,31
Alzheimer s   Dementia - 2025 - Halloway - Effect modifiers of the MIND diet for cognition in older adults  The MIND diet.pdf,August,none,32
Alzheimer s   Dementia - 2025 - He - Automated bimodal pause analysis for acoustic markers of cognitive decline and.pdf,August,WRAP; ADNI,33
Alzheimer s   Dementia - 2025 - Hong - MRI markers of cerebrospinal fluid dynamics predict dementia and mediate the impact.pdf,August,ADNI; UK Biobank,34
Alzheimer s   Dementia - 2025 - Ikanga - The association of human apolipoprotein  4 with dementia  cognition  imaging  and.pdf,August,AIBL,35
Alzheimer s   Dementia - 2025 - Kavcic - Cardiometabolic disorders and mild cognitive impairment in White and Black.pdf,August,NACC,36
Alzheimer s   Dementia - 2025 - Kleiman - The Brain Health Index  Integrating vulnerability  resilience  and cognitive.pdf,August,none,37
Alzheimer s   Dementia - 2025 - Kwapong - Retinal microvascular alterations in Alzheimer s disease  Linking blood plasma.pdf,August,none,38
Alzheimer s   Dementia - 2025 - Latomme - A scoping review and comprehensive needs assessment for developing an.pdf,August,none,39
Alzheimer s   Dementia - 2025 - Le - Treatment modifiers and predictors of risperidone response in dementia  An individual.pdf,August,none,40
Alzheimer s   Dementia - 2025 - Lee - Age‐related amyloid beta dynamics modeled with the generalized additive model for.pdf,August,ADNI; A4 Study,41
Alzheimer s   Dementia - 2025 - Lee - Anticholinergics  executive function  and cognitive behavioral changes in Down.pdf,August,none,42
Alzheimer s   Dementia - 2025 - Liu - Caregivers  perspectives on lecanemab use for Alzheimer s disease  A national survey.pdf,August,none,43
Alzheimer s   Dementia - 2025 - Luo - Development and evaluation of image preprocessing pipelines for the Centiloid method.pdf,August,none,44
Alzheimer s   Dementia - 2025 - Markova - Defining the contributions of tau pathology in the amygdala to increasing.pdf,August,ADNI; A4 Study,45
Alzheimer s   Dementia - 2025 - McDade - The relationship of soluble tau species with Alzheimer s disease amyloid plaque.pdf,August,none,46
Alzheimer s   Dementia - 2025 - McEligot - Associations between comorbid conditions with mild cognitive impairment and.pdf,August,NACC,47
Alzheimer s   Dementia - 2025 - Miller - Neurodevelopment and neural environment inform Alzheimer s disease age at onset.pdf,August,NACC; MAPT,48
Alzheimer s   Dementia - 2025 - Nguyen Ho - Objective physical activity and Alzheimer s disease burden in the.pdf,August,BLSA; UK Biobank,49
Alzheimer s   Dementia - 2025 - Nordestgaard - Cholesterol‐lowering drug targets reduce risk of dementia  Mendelian.pdf,August,UK Biobank,50
Alzheimer s   Dementia - 2025 - Ouellette - Evaluation of hippocampal DLGAP2 overexpression on cognition  synaptic function.pdf,August,ROSMAP,51
Alzheimer s   Dementia - 2025 - Palpatzis - Adaptive stress coping is associated with cognitive resilience in at‐risk.pdf,August,A4 Study,52
Alzheimer s   Dementia - 2025 - Povala - Amyloid beta and tau are associated with the dual effect of neuroinflammation on.pdf,August,none,53
Alzheimer s   Dementia - 2025 - Powell - Understanding brain donation decisions  Predictors of indecision and change over.pdf,August,NACC,54
Alzheimer s   Dementia - 2025 - Raia - One‐carbon metabolism modulates miR‐29a DNA methylation crosstalk in Alzheimer s.pdf,August,none,55
Alzheimer s   Dementia - 2025 - Rädke - Efficacy and cost‐effectiveness of extended nursing roles in dementia care  Results.pdf,August,none,56
Alzheimer s   Dementia - 2025 - Ryoo - Metabolic and vascular contributions to dementia  Soluble epoxide hydrolase‐derived.pdf,August,none,57
Alzheimer s   Dementia - 2025 - Shen - Process evaluation of a digital health intervention for dementia caregivers .pdf,August,none,58
Alzheimer s   Dementia - 2025 - Shi - Five‐year change in sleep duration and incident Alzheimer s Disease and Related.pdf,August,UK Biobank,59
Alzheimer s   Dementia - 2025 - Snyder - Integrating a motor domain enhances disease severity scales in an FTD‐ALS spectrum.pdf,August,NACC; MAPT,60
Alzheimer s   Dementia - 2025 - Soleimani‐Meigooni - Calibration of multisite raters for prospective visual reads of.pdf,August,NACC; ADNI; PREVENT-AD; A4 Study,61
Alzheimer s   Dementia - 2025 - Soltaninejad - White matter hyperintensities precede other biomarkers in GRN frontotemporal.pdf,August,MAPT,62
Alzheimer s   Dementia - 2025 - Sood - Relationship of antihypertensives with late‐life cognitive decline and.pdf,August,none,63
Alzheimer s   Dementia - 2025 - Soreq - Contactless longitudinal monitoring in the home characterizes aging and Alzheimer s.pdf,August,none,64
Alzheimer s   Dementia - 2025 - Synnott - Characterizing financial risk from out‐of‐pocket expenditures across dementia.pdf,August,none,65
Alzheimer s   Dementia - 2025 - Thunell - Shifting care patterns  How Medicaid policies shape family and formal care use.pdf,August,none,66
Alzheimer s   Dementia - 2025 - Tong - Association of dietary sodium intake with late‐life cognitive decline and postmortem.pdf,August,UK Biobank,67
Alzheimer s   Dementia - 2025 - Townsend - Estimating the preclinical Alzheimer s disease course with multimodal data.pdf,August,none,68
Alzheimer s   Dementia - 2025 - Tsang - Stroke heart syndrome and risk of incident dementia among patients with first‐ever.pdf,August,none,69
Alzheimer s   Dementia - 2025 - Vitali - Carotid endarterectomy mitigates Alzheimer s disease and non Alzheimer s disease.pdf,August,none,70
Alzheimer s   Dementia - 2025 - Vromen - Cerebrospinal fluid proteomic associations of APOE genotypes reveal distinct.pdf,August,ADNI; UK Biobank,71
Alzheimer s   Dementia - 2025 - Wang - Clinical progression on CDR‐SB   Progression‐free time at each 0 5 unit level in.pdf,August,NACC; ADNI,72
Alzheimer s   Dementia - 2025 - Wang - Engaging Chinese and Korean American communities in dementia research  A journey of.pdf,August,SAGES,73
Alzheimer s   Dementia - 2025 - Weltings - Everyday functioning in young onset dementia  differences between diagnostic.pdf,August,ADNI,74
Alzheimer s   Dementia - 2025 - Williams - Dementia prevalence in the Wisconsin Longitudinal Study.pdf,August,NACC,75
Alzheimer s   Dementia - 2025 - Yaari - Donanemab in preclinical Alzheimer s disease  Screening and baseline data from.pdf,August,A4 Study,76
Alzheimer s   Dementia - 2025 - Zeighami - Sex differences in vulnerability to tau pathology  Impact on cognitive decline.pdf,August,NACC,77
Alzheimer s   Dementia - 2025 - Zhang - Compression of cognitive decline and cognitive resilience in extreme longevity.pdf,August,NACC,78
Alzheimer s   Dementia - 2025 - Zhang - Real‐world observations of GLP‐1 receptor agonists and SGLT‐2 inhibitors as.pdf,August,none,79
Alzheimer s   Dementia - 2025 - Zhu - Employment  volunteering  and health‐related resource use in pre‐symptomatic AD .pdf,August,A4 Study,80
Alzheimer s   Dementia - 2025 - Abughofah - The Cognitive Change Index in the Alzheimer s Disease Research Center setting .pdf,September,NACC; KBASE,2
Alzheimer s   Dementia - 2025 - Acevedo‐Fontánez - Skeletal muscle adiposity and cognitive decline in a biracial cohort .pdf,September,none,3
Alzheimer s   Dementia - 2025 - Almeida - Ginseng extract improves synaptic resiliency  A key factor for healthy cognitive.pdf,September,none,4
Alzheimer s   Dementia - 2025 - Al‐Amin - Apolipoprotein  4 exacerbates white matter impairment in a mouse model of A .pdf,September,none,5
Alzheimer s   Dementia - 2025 - Andrews - The role of genomic‐informed risk assessments in predicting dementia outcomes.pdf,September,Knight ADRC; WHICAP; NACC; WRAP; ADNI; ADSP; A4 Study,6
Alzheimer s   Dementia - 2025 - Bachmann - Predicting cognitive decline with amyloid‐PET  plasma p‐tau217  A 42 40  and.pdf,September,none,7
Alzheimer s   Dementia - 2025 - Bangs - Proteomic subtyping of Alzheimer s disease CSF links blood brain barrier.pdf,September,MAPT,8
Alzheimer s   Dementia - 2025 - Barber - Modeling presynaptic inhibition by the amyloid precursor protein demonstrates one.pdf,September,none,9
Alzheimer s   Dementia - 2025 - Bedford - Alzheimer s disease associated PLCG2 variants alter microglial state and function.pdf,September,none,10
Alzheimer s   Dementia - 2025 - Bhembre - Direct evidence for dendritic spine compensation and regeneration in Alzheimer s.pdf,September,none,11
Alzheimer s   Dementia - 2025 - Biel - A systematic comparison of ATN biomarkers for monitoring longitudinal cognitive.pdf,September,ADNI; A4 Study,12
Alzheimer s   Dementia - 2025 - Buchanan - Differential impact of manganese on glutamate clearance  electroencephalography .pdf,September,none,13
Alzheimer s   Dementia - 2025 - Chan - Gamma sensory stimulation in mild Alzheimer s dementia  An open‐label extension.pdf,September,NACC; ADNI,14
Alzheimer s   Dementia - 2025 - Chaunsali - Degradation of perineuronal nets in hippocampal CA2 explains the loss of social.pdf,September,none,15
Alzheimer s   Dementia - 2025 - Chen - Lecanemab treatment for Alzheimer s Disease of varying severities and associated.pdf,September,AIBL,16
Alzheimer s   Dementia - 2025 - Chong Chie - Neurometabolic and vascular dysfunction as an early diagnostic for Alzheimer s.pdf,September,ADNI,17
Alzheimer s   Dementia - 2025 - Coulborn - Combining plasma neurofilament light chain and frontotemporal atrophy improves.pdf,September,MAPT,18
Alzheimer s   Dementia - 2025 - Dacey - Alzheimer s disease multi‐ancestry genome‐wide interaction and stratified study.pdf,September,WHICAP; ROSMAP; NACC; ADSP; MSBB,19
Alzheimer s   Dementia - 2025 - Dass - Examination of metabolic syndrome in Down syndrome and association with dementia.pdf,September,none,20
Alzheimer s   Dementia - 2025 - David - Catecholaminergic nucleus integrity and Alzheimer s pathology  symptoms  and.pdf,September,ADNI,21
Alzheimer s   Dementia - 2025 - Dempsey - Validation of a MIND diet screener in older adults.pdf,September,NACC,22
Alzheimer s   Dementia - 2025 - Diaz - Neurocognitive disorders  depression  and associated factors in younger and older.pdf,September,none,23
Alzheimer s   Dementia - 2025 - Doecke - Multivariate models using NULISAseq and plasma p‐tau217 for staging Alzheimer s.pdf,September,AIBL; MAPT,24
Alzheimer s   Dementia - 2025 - Dong - Harmful impact of blood lead on the prevalence of Alzheimer s disease among.pdf,September,UK Biobank; PREVENT-AD,25
Alzheimer s   Dementia - 2025 - Du - Tau mediates the impact of amyloid and vascular disease burden on the trajectory of.pdf,September,NACC; WRAP,26
Alzheimer s   Dementia - 2025 - Elasfar - Identifying gait differences between Alzheimer s disease and dementia with Lewy.pdf,September,none,27
Alzheimer s   Dementia - 2025 - George - The Neighborhoods Study  Examining the social exposome in Alzheimer s disease and.pdf,September,NACC,28
Alzheimer s   Dementia - 2025 - Goodheart - Towards optimizing the diagnosis of Lewy body dementia  Lessons from the NACC.pdf,September,NACC,29
Alzheimer s   Dementia - 2025 - Goodwin - Classification of AD and bvFTD using neuropsychological and neuropsychiatric.pdf,September,NACC,30
Alzheimer s   Dementia - 2025 - Hayes - The impact of arteriolosclerosis on cognitive impairment in decedents without.pdf,September,NACC; ADSP,31
Alzheimer s   Dementia - 2025 - Heffernan - Association between low‐frequency oscillations in blood pressure variability.pdf,September,UK Biobank,32
Alzheimer s   Dementia - 2025 - Heikal - The Egyptian Dementia Network  EDN   Baseline characteristics from the first.pdf,September,none,33
Alzheimer s   Dementia - 2025 - Hosseinkhani - Plasma and feces multiomics unveil cognition‐associated perturbations of.pdf,September,none,34
